eager,熱望している
remarkable,すばらしい
evil,悪い
awake,目を覚まして
aged,年老いた
anxious,心配して、切望して
tough,たくましい、骨の折れる
nuclear,核の、原子力の
legal,合法の、法律の
curious,好奇心の強い
civil,一般市民の
recent,最近の
senior,上級の、先輩の
afterward,その後
nearly,ほとんど
therefore,それゆえに
exactly,正確に
possibly,ひょっとすると、どうしてもVできない
contrary,反対に
occasionally,時々
somehow,どういうわけか、なぜか
seldom,めったに～ない
thus,それゆえ、そのように
throughout,いたる所に
unlike,～と違って
besides,～に加えて
beyond,～の向こうに；～できる範囲をこえて
within,～以内で
nor,～もない
unless,～しない限り
except,～を除いて
ought,～すべきである
in spite of,～にもかかわらず
whether,～かどうか、～であろうとなかろうと
explain,～を説明する
accept,～を受け入れる
produce,～を生産する
exist,存在する
express,～を表現する
add,～を加える
avoid,～を避ける
marry,～と結婚する
protect,～を守る
affect,～に影響する
determine,～を決定する
solve,～を解決する
contain,～を含んでいる
discuss,～を議論する
ignore,～を無視する
guess,～を推測する
exchange,交換する
satisfy,～を満たす
complain,苦情を言う
achieve,～を達成する
enable,～を可能にする
intend,つもりだ
obtain,～を得る
divide,分割する
annoy,～をいらいらさせる
differ,異なる
educate,～を教育する
borrow,～を借りる
invent,～を発明する
promote,～を促進する
advise,～に忠告する
retire,辞める
permit,～を許す
recommend,～を勧める
apologize,謝る
inform,～に知らせる
oppose,～に反対する
trust,～を信用する
select,～を選ぶ
praise,～をほめる
handle,～に対処する
propose,～を提案する
breathe,～を呼吸する
criticize,～を非難する
overcome,～に打ち勝つ
possess,～を持っている
predict,～を予言する
publish,～を出版する
floating,浮かぶ
recall,～を思い出す
explore,～を探検する
pretend,ふりをする
absorb,～を吸収する
resemble,～に似ている
tear,～を引き裂く
consume,～を消費する
compete,競争する
quit,～をやめる
announce,～を発表する
react,反応する
wander,歩き回る
text,メールを送る
generate,～を生み出す
score,～を取る
government,政府
knowledge,知識
nation,国
effort,努力
period,時代
population,人口
purpose,目的
behavior,行動
lack,不足
skill,技術
quality,質
environment,環境
role,役割
attitude,態度
author,筆者
research,研究
opportunity,機会
source,源
carbon,炭素
shape,形
advantage,利点
method,方法
habit,習慣
detail,細部
distance,距離
crowd,群衆
instance,例
desire,願望
standard,水準
task,仕事
generation,世代
responsibility,責任
experiment,実験
athlete,運動選手
decade,10年
loss,損失
fever,熱
theory,理論
statement,記述
professor,教授
function,機能
surface,表面
envelope,封筒
organization,組織
policy,政策
resource,資源
contrast,対比
flood,洪水
mate,連れ合い
goods,商品
creature,動物
structure,構造
tradition,伝統
weight,体重
charity,慈善
citizen,市民
impression,印象
cartoon,マンガ
career,経歴
site,用地
passenger,乗客
violence,暴力
income,所得
temperature,気温
majority,大多数
origin,起源
literature,文学
equipment,設備
stranger,見知らぬ人
strength,強さ
planet,惑星
fiction,小説
religion,宗教
pollution,汚染
wealth,富
document,文書
profit,もうけ
technique,技術
emotion,感情
phenomenon,現象
horror,恐怖
ladder,はしご
billion,十億
status,地位
youth,若者
confidence,自信
edge,周辺
household,家庭
scholar,学者
survey,調査
vocabulary,語彙
enemy,敵
construction,建設
lecture,講義
instruction,指示
crisis,危機
instrument,器具
crop,作物
weapon,兵器
device,装置
path,道
earthquake,地震
stream,小川
notion,概念
yard,庭
victim,犠牲者
fuel,燃料
ancestor,祖先
soil,土壌
debate,討論
crime,犯罪
colleague,同僚
shelf,棚
analysis,分析
universe,宇宙
electricity,電気
insect,昆虫
web,巣
storm,嵐
plenty,十分な
agriculture,農業
gene,遺伝子
evidence,証拠
consequence,結果
infant,幼児
leisure,暇
cell,細胞
talent,才能
advertising,広告
extent,程度
garbage,ごみ
general,一般
various,さまざまな
similar,似ている
complete,完全な
sharp,急激な
expensive,高価な
political,政治的な
aware,気づいている
ancient,古代の
medical,医学の
essential,不可欠だ
huge,巨大な
terrible,ひどい
practical,実用的な
entire,全
favorite,いちばん好きな
comfortable,快適な
minor,小さい
typical,典型的な
ideal,理想的な
principal,主要な
appropriate,適切な
empty,からの
rapid,急速な
mental,精神の
excellent,すばらしい
convenient,都合がいい
potential,潜在的な
financial,財政的な
enormous,莫大な
rare,珍しい
artificial,人工
tiny,ちっちゃな
considerable,かなりの
sensitive,敏感な
intellectual,知的な
thirsty,のどが渇く
polite,礼儀正しい
accurate,正確な
rude,失礼な
sufficient,十分な
urban,都会の
temporary,一時的な
primitive,原始的な
permanent,永久
elderly,高齢の
severe,厳しい
brief,簡潔な
mobile,流動的な
latest,最新の
military,軍事的な
strict,厳しい
solid,固体の
stupid,ばかな
biological,生物
probably,おそらく
hardly,ほとんど～ない
immediately,すぐに
eventually,ついに
frequently,しばしば
extremely,非常に
gradually,だんだん
instantly,すぐに
nevertheless,それにもかかわらず
moreover,その上
relatively,比較的
apparently,一見
definitely,絶対
largely,主に
mostly,大部分は
approximately,およそ
overnight,一晩
accidentally,偶然
despite,にもかかわらず
proceed,進む
ensure,～を確実にする
interpret,～を解釈する
cease,～しなくなる
ban,（公式に）～を禁止する
obey,～に従う
eliminate,(不要なもの)を除去する
resist,～に抵抗する
accompany,〈人〉に同伴する
commit,〈罪など〉を犯す、～をゆだねる、委任する、(本気で)取り組む
pursue,～を追求する
demonstrate,(証明などが)～を明らかに示す
bet,きっと～だと思う
ruin,～を台無しにする、破壊する
threaten,～を脅迫する
attach,AをBにくっつける
reverse,～を反対にする、逆転する
restrict,～を制限する
compose,～を組み立てる
lean,よりかかる、もたれる
substitute,～を代わりに用いる
trace,～の跡をたどる
interrupt,～を妨げる
confront,～の前に立ちふさがる、～に立ち向かう
illustrate,～を（例で）示す
arrest,～を逮捕する
stimulate,～を刺激する
assure,（～を）保証する
consult,～に相談する、～を参照する
depress,～を憂鬱にさせる
crash,激突する
inspire,～を奮起させる、やる気にさせる
specialize,Aを専門にする、専攻する
cultivate,(植物)を栽培する、(感情・能力などを)育む
fulfill,(約束・夢など)を果たす
transmit,～を送る、伝える
found,～を創立する、設立する
clap,(手など)をたたく
burst,破裂する、突然～しだす
bow,おじぎする
dismiss,(考えなど)を無視する、(人)を解雇する、解散する
breed,～を繁殖させる、繁殖する
prohibit,〈法・団体が〉～を禁じる
oblige,～に強いる
qualify,Aに適任である
invest,（金）を投資する
grasp,～を理解する
collapse,崩壊する
overlook,～を見落とす、～を見逃す
accuse,～を非難する
frustrate,〈人〉を欲求不満にさせる
deprive,AからBを奪う
astonish,～を驚嘆させる
register,～を登録する
correspond,一致する
cast,～を投げる
attribute,AはBのおかげだと思う
neglect,～を無視する、怠る
starve,飢える
resolve,(問題など)を解決する
impose,AをBに課す、押し付ける
convert,～を転換する
scare,～をおびえさせる
constitute,～を構成する、占める、～である
appoint,～を任命する
imply,～を(暗に)意味する
assign,(仕事・物)を割り当てる
nod,うなずく
elect,～を選挙で選ぶ
transfer,～を移す
rob,AからBを奪う
capture,～を捕らえる
undertake,（仕事など）を引き受ける
drown,おぼれ死ぬ
split,～を割る、分裂する
resort,Aに訴える
descend,下る、降りる
irritate,～をいらだたせる
pronounce,〈単語など〉を発音する
equip,～を装備させる
cheat,いかさまをする
emerge,〈隠れていたものが〉現れる
devote,～をささげる
heal,〈けがなど〉を治す、治る
urge,～に強く迫る、～を説得する
envy,～をうらやむ
chase,～を追いかける
prompt,～を促す
withdraw,～を引っ込める、引きこもる、退く、(預金など)を引き出す
detect,～を探知する、～を発見する
interfere,Aを邪魔する
kid,冗談を言う、からかう
launch,(ロケットなど)を打ち上げる
endanger,～を危険にさらす
foster,～を促進する、育成する
diminish,減少する、衰える、～を減らす
spill,～をこぼす
infect,〈人〉に感染する
stem,Aから生じる、Aに由来する
tap,～を軽くたたく
embrace,受け入れる、含む
proportion,比率
contract,契約
chest,胸
treasure,財宝
stock,株(式)
facility,設備、施設
sum,金額、合計、要約
rank,地位
democracy,民主主義、民主国家
emergency,緊急事態
protest,抗議
immigrant,移民
vehicle,車、乗り物、手段
routine,決まりきった仕事、日課
stuff,物
row,列
profile,プロフィール、人物紹介、横顔
dawn,夜明け
welfare,福祉
perspective,見方
enthusiasm,熱意、情熱
faith,信頼
occupation,職業、占領
witness,証人、目撃者
kingdom,王国
equivalent,同等のもの、相当するもの
objective,目的、目標、客観的な
pile,積み重ね
shelter,避難(所)
trial,試み、裁判
honor,名誉
territory,領土、なわ張り
frame,わく
border,国境地帯
statistics,統計(学)
enterprise,企業、事業
context,文脈、状況
load,荷物
grain,穀物
review,再検討
prejudice,偏見
strain,負担
trap,わな、閉じ込められる、わなにかける
temper,気性
slave,奴隷
wound,傷
divorce,離婚
tune,曲
height,高さ、最盛期
faculty,学部、能力
span,期間
dimension,側面、要素、次元
version,型、...版、翻訳、説明
parallel,類似(物)、匹敵するもの
horizon,地平線
acquaintance,知人
burden,重荷
basis,基礎、根拠、方式、やり方
poison,毒
constitution,憲法
administration,経営、行政
charm,魅力
organ,臓器、器官
prey,獲物、えじき
venture,冒険的事業
mission,使命、任務
inquiry,調査、質問、問い合わせ
award,賞
strip,細長い一片
distress,苦しみ、悲嘆、苦難
circulation,循環、流通、発行部数
shade,陰、日陰
stereotype,典型的なイメージ、類型、固定観念
client,依頼人
output,生産高
lord,神
convention,慣習、しきたり、会議、大会
mine,鉱山
craft,工芸、技術、巧みに作る
core,中心、核心
stroke,脳卒中、発作、打撃、一撃、なでる
frontier,国境
peer,同僚、じっと見る
vessel,血管、船、器
disability,障害
gravity,重力
ethic,倫理(学)
terminal,終点
tide,潮流、潮の干満
abuse,虐待
guilty,有罪の、罪の意識がある
vital,きわめて重要な、必要な、活気のある
fellow,仲間の
contemporary,現代の
annual,年に１度の、１年間の
accustomed,慣れた
steady,しっかりした
dull,退屈させる
keen,熱望して、鋭い
loose,ゆるい
delicate,繊細な、微妙で難しい
internal,内部の、国内の
casual,形式ばらない、気楽な
mature,成熟した
concrete,具体的な
awful,ひどい
exhausted,疲れ切っている
overall,全面的な、全体的な
tight,引き締まった、きつい
prime,最も重要な、主要な
genuine,本物の、真の、心からの
modest,控えめな、謙虚な、わずかな
intimate,親密な
minimum,最小限の
sophisticated,高度な
latter,後者の
bitter,苦い、つらい、腹を立てた
peculiar,独特の、固有の
passive,受動的な、消極的な
ethnic,民族的な、民族の
noble,高貴な
vain,むだな
innocent,無罪の、罪のない、無邪気な
underlying,根本的な
alien,外国の、異質な
relevant,関連のある
inclined,Ｖする傾向がある、Ｖしたい気がある
awkward,気まずい
brilliant,すばらしい
desperate,必死の
refreshing,さわやかな
thrilled,とてもうれしい
inner,内側の
consistent,矛盾のない、一致した
plain,明白な、わかりやすい
vivid,鮮やかな
miserable,惨めな
substantial,相当な、多大な
fond,Aが好きだ
FALSE,まちがいの
lazy,怠惰な
precisely,正確に、まさに、ちょうど
meanwhile,その間に
altogether,完全に
lately,最近
barely,かろうじて
scarcely,ほとんど～ない
accordingly,それ相応に
deliberately,わざと
beneath,～の下で
whereas,～だが一方
declare,～を宣言する
alter,～を変える
arise,生じる
transform,変える
defeat,～を打ち負かす
investigate,～を調査する
distinguish,～を見分ける
bury,～を埋める
cope,うまく対処する
occur,起こる
accomplish,～をやりとげる
hesitate,ためらう
endure,～に耐える
conclude,～と結論づける
guarantee,～を保証する
dominate,～を支配する
confirm,～を裏付ける
greet,～にあいさつする
entertain,～を楽しませる
defend,～を守る
forbid,～を禁じる
broadcast,～を放送する
sacrifice,～を犠牲にする
punish,～を罰する
glance,ちらりと見る
retain,～を保持する
calculate,～を計算する
sinking,沈む
rescue,～を救助する
beg,～と乞う
define,定義する
deceive,～をだます
convey,～を伝える
sustain,～を維持する
purchase,～を購入する
fade,薄れる
regulate,～を規制する
distribute,～を分配する
enhance,～を向上させる
chat,おしゃべりする
exceed,～を超える
wipe,～をふく
cooperate,協力する
inherit,～を受け継ぐ
unite,～を団結させる
leap,跳ぶ
exaggerate,～を誇張する
conquer,～を征服する
melt,溶ける
invade,～に侵入する
modify,～を修正する
scatter,～をばらまく
undergo,～を経験する
evaluate,～を評価する
bend,身をかがめる
derive,由来する
screaming,悲鳴をあげる
gaze,見つめる
pray,祈る
polish,～を磨く
classify,分類する
assert,～と主張する
grab,～をつかむ
fold,～を折りたたむ
sweep,～を掃く
whisper,ささやく
imitate,～をまねる
stare,じっと見る
emphasize,～を強調する
rid,～を取り除く
pour,～を注ぐ
vanish,消える
restore,～を修復する
deserve,当然だ
laboratory,研究所
conference,会議
continent,大陸
insurance,保険
crew,乗組員たち
poverty,貧乏
shortage,不足
affair,情勢
exception,例外
wage,賃金
wisdom,知恵
tax,税金
evolution,進化
barrier,壁
category,範ちゅう
unit,単位
reputation,評判
virtue,美徳
courage,勇気
sympathy,同情
union,組合
civilization,文明
volume,冊
blossom,花
era,時代
dispute,紛争
tourism,観光
mankind,人類
murder,殺人
landscape,風景
destination,目的地
tale,話
reform,改革
muscle,筋肉
prospect,見通し
corporation,企業
colony,植民地
quarrel,口論
profession,職業
aspect,側面
pause,休止
conflict,対立
privilege,特権
prosperity,繁栄
genius,天才
seed,種
symptom,症状
merit,長所
layer,層
clue,手がかり
circumstances,状況
district,地区
prison,刑務所
companion,仲間
executive,重役
Justice,正義
procedure,手続き
ray,光線
heaven,天国
luxury,贅沢
oxygen,酸素
fund,資金
theme,主題、テーマ
boundary,境界
ambition,熱望
forecast,予報
psychology,心理学
labor,労働
committee,委員会
physician,医者
philosophy,哲学
affection,愛情
candidate,候補
bomb,爆弾
priority,優先
obstacle,障害
appetite,食欲
tension,緊張
